id,nickname,real_name,nationality,image_url,image_file,current_team,latest_tournament,avg_rank,avg_kill,avg_damage,avg_survive_time,team_history,source_url
2,Su999,Yu Lin,China,https://wstatic-prod-boc.krafton.com/entry/player/20250321/BT3KPy5u.png,pubg_players\images\2.png,EDWARD GAMING,2025 PUBG Champions League Autumn,8.3,0.87,156.29,20:59,"[{""year"": 2025, ""team"": ""EDWARD GAMING""}, {""year"": 2025, ""team"": ""TYLOO""}, {""year"": 2024, ""team"": ""17Gaming""}, {""year"": 2023, ""team"": ""17Gaming""}, {""year"": 2022, ""team"": ""17Gaming""}, {""year"": 2021, ""team"": ""17Gaming""}]",https://pubgesports.com/vi/players/2
7,v1n1zxz,Marcos Vinicios de Sousa,-,https://wstatic-prod-boc.krafton.com/common/player/20241109/6viUeyq9/v1n1.png,pubg_players\images\7.png,Bestia,PUBG Americas Series 6,7.5,0.54,131.37,20:29,"[{""year"": 2025, ""team"": ""Bestia""}, {""year"": 2024, ""team"": ""Luna Galaxy""}, {""year"": 2023, ""team"": ""BRAZIL""}, {""year"": 2023, ""team"": ""Decimate""}, {""year"": 2023, ""team"": ""Synergy Esports""}, {""year"": 2022, ""team"": ""22 Esports""}, {""year"": 2021, ""team"": ""22 Esports""}]",https://pubgesports.com/vi/players/7
12,TrisK22cm,Allan Guarinello,United States of America,https://wstatic-prod-boc.krafton.com/esports-legacy/resources/player/303_trisk.png,pubg_players\images\12.png,YING YANG,PUBG Americas Series 6,7.6,0.87,209.12,21:14,"[{""year"": 2025, ""team"": ""55""}, {""year"": 2025, ""team"": ""YING YANG""}, {""year"": 2024, ""team"": ""ANIMANI4CS""}, {""year"": 2024, ""team"": ""Meu Último Tiro""}, {""year"": 2021, ""team"": ""303 Esports""}]",https://pubgesports.com/vi/players/12
31,CeeJay18,Christian Joy A. Estrella,Philippines,https://wstatic-prod-boc.krafton.com/common/player/20260622/YmXe8C5m/PHL_CeeJay18.png,pubg_players\images\31.png,PHILIPPINES,PUBG NATIONS CUP 2026,10.6,0.8,191.7,17:26,"[{""year"": 2026, ""team"": ""PHILIPPINES""}, {""year"": 2025, ""team"": ""HAPPIE SQUAD""}, {""year"": 2025, ""team"": ""PHILIPPINES""}, {""year"": 2024, ""team"": ""ArkAngel Predator""}, {""year"": 2022, ""team"": ""ArkAngel Predator""}, {""year"": 2021, ""team"": ""ArkAngel Predator""}, {""year"": 2020, ""team"": ""ArkAngel Predator""}]",https://pubgesports.com/vi/players/31
35,EJ,Jungwoo Lee,Korea (the Republic of),https://wstatic-prod-boc.krafton.com/common/player/20260804/Fng5oKi4/GK_EJ.png,pubg_players\images\35.png,Geekay Esports,2026 PUBG Global Series 7,8.7,1.09,159.85,17:55,"[{""year"": 2026, ""team"": ""Geekay Esports""}, {""year"": 2025, ""team"": ""SooperStar""}, {""year"": 2024, ""team"": ""ELEVEN ESPORTS""}, {""year"": 2023, ""team"": ""Gen.G""}, {""year"": 2021, ""team"": ""Afreeca Freecs""}, {""year"": 2020, ""team"": ""Afreeca Freecs""}]",https://pubgesports.com/vi/players/35
38,CodeMarco,Bünyamin Yalçınkaya,Türkiye,https://wstatic-prod-boc.krafton.com/common/player/20260622/2c87i8mB/TUR_CodeMarco.png,pubg_players\images\38.png,TURKIYE,PUBG NATIONS CUP 2026,8.2,0.92,187.78,17:17,"[{""year"": 2026, ""team"": ""TURKIYE""}, {""year"": 2025, ""team"": ""Eternal Fire""}, {""year"": 2025, ""team"": ""Türkiye""}, {""year"": 2024, ""team"": ""ETERNAL FIRE""}, {""year"": 2024, ""team"": ""HOWL""}, {""year"": 2024, ""team"": ""TURKIYE""}, {""year"": 2023, ""team"": ""Digital Athletics""}, {""year"": 2023, ""team"": ""TURKIYE""}, {""year"": 2022, ""team"": ""BBL Esports""}, {""year"": 2021, ""team"": ""BBL Esports""}, {""year"": 2021, ""team"": ""Digital Athletics""}, {""year"": 2020, ""team"": ""Digital Athletics""}, {""year"": 2020, ""team"": ""Etiget Esports""}]",https://pubgesports.com/vi/players/38
43,Conaxy,Krissada Mukmongkol,-,https://wstatic-prod-boc.krafton.com/common/player/20250122/QP2QIXbh/conaxy.png,pubg_players\images\43.png,FW ESPORTS,PUBG PLAYERS MASTERS INVITATIONAL,7.2,0.8,147.66,18:12,"[{""year"": 2025, ""team"": ""FW Esports""}, {""year"": 2025, ""team"": ""R8 Esports""}, {""year"": 2024, ""team"": ""Buriram United Esports""}, {""year"": 2023, ""team"": ""Buriram United Esports""}, {""year"": 2022, ""team"": ""Buriram United Esports""}, {""year"": 2021, ""team"": ""Buriram United Esports""}, {""year"": 2020, ""team"": ""Buriram United Esports""}]",https://pubgesports.com/vi/players/43
44,Eaddy,Atip Sangphet,-,https://wstatic-prod-boc.krafton.com/common/player/20251011/6oFM2e0w/brueaddy.png,pubg_players\images\44.png,Buriram United Esports,PUBG Global Series 10,9.0,0.83,155.19,18:31,"[{""year"": 2025, ""team"": ""Buriram United Esports""}, {""year"": 2024, ""team"": ""Buriram United Esports""}, {""year"": 2023, ""team"": ""Buriram United Esports""}, {""year"": 2022, ""team"": ""Buriram United Esports""}, {""year"": 2021, ""team"": ""Buriram United Esports""}, {""year"": 2020, ""team"": ""Buriram United Esports""}]",https://pubgesports.com/vi/players/44
47,alec,Louise Alecxander Bathan,Philippines,https://wstatic-prod-boc.krafton.com/common/player/20260622/sl20qkUp/PHL_alec.png,pubg_players\images\47.png,PHILIPPINES,PUBG NATIONS CUP 2026,10.6,1.12,197.45,17:10,"[{""year"": 2026, ""team"": ""PHILIPPINES""}, {""year"": 2024, ""team"": ""ArkAngel Predator""}, {""year"": 2023, ""team"": ""ArkAngel Predator""}, {""year"": 2021, ""team"": ""The Colony PH""}]",https://pubgesports.com/vi/players/47
49,Eyaaa,Kalbender E. Singh,Philippines,https://wstatic-prod-boc.krafton.com/common/player/20260622/13MpFodC/PHL_Eyaaa.png,pubg_players\images\49.png,PHILIPPINES,PUBG NATIONS CUP 2026,10.6,0.84,121.75,15:18,"[{""year"": 2026, ""team"": ""PHILIPPINES""}, {""year"": 2025, ""team"": ""HAPPIE SQUAD""}, {""year"": 2023, ""team"": ""Pintados eSports""}, {""year"": 2021, ""team"": ""ArkAngel Predator""}, {""year"": 2021, ""team"": ""The Colony PH""}, {""year"": 2020, ""team"": ""ArkAngel Predator""}]",https://pubgesports.com/vi/players/49
