id,name,logo_url,logo_file,source_url
1,FaZe Clan,https://wstatic-prod-boc.krafton.com/common/team/20251023/0leKdaEp/faze.png,pubg_teams\logos\1.png,https://pubgesports.com/vi/teams/1
2,Natus Vincere,https://wstatic-prod-boc.krafton.com/entry/player/20240318/LEm4E42C.png,pubg_teams\logos\2.png,https://pubgesports.com/vi/teams/2
4,Virtus.pro,https://wstatic-prod-boc.krafton.com/common/team/20240506/1TbvUQpa/vp.png,pubg_teams\logos\4.png,https://pubgesports.com/vi/teams/4
7,Buriram United Esports,https://wstatic-prod-boc.krafton.com/entry/player/20231010/eH5EBuTz.png,pubg_teams\logos\7.png,https://pubgesports.com/vi/teams/7
14,FOUR ANGRY MEN,https://wstatic-prod-boc.krafton.com/entry/player/20240418/vll3G4ZY.png,pubg_teams\logos\14.png,https://pubgesports.com/vi/teams/14
22,FURIA,https://wstatic-prod-boc.krafton.com/esports-legacy/resources/images/team/logo_furia.png,pubg_teams\logos\22.png,https://pubgesports.com/vi/teams/22
24,17Gaming,https://wstatic-prod-boc.krafton.com/entry/player/20240418/4hdPxuri.png,pubg_teams\logos\24.png,https://pubgesports.com/vi/teams/24
28,Petrichor Road,https://wstatic-prod-boc.krafton.com/common/team/20250312/LW6pA9KX/pero.png,pubg_teams\logos\28.png,https://pubgesports.com/vi/teams/28
29,Gen.G Esports,https://wstatic-prod-boc.krafton.com/common/team/20260316/0sT283K2/GEN-SQ-LIGHT 1.png,pubg_teams\logos\29.png,https://pubgesports.com/vi/teams/29
41,Sharper Esports,https://wstatic-prod-boc.krafton.com/entry/player/20231010/bFG3B8oh.png,pubg_teams\logos\41.png,https://pubgesports.com/vi/teams/41
44,GAM The Expendables,https://wstatic-prod-boc.krafton.com/common/team/20260722/ZNgqlnJO/TE-X-GAM-OPT-2-(1).png,pubg_teams\logos\44.png,https://pubgesports.com/vi/teams/44
58,TEAM LIQUID,https://wstatic-prod-boc.krafton.com/entry/player/20250314/1CQsMdaH.png,pubg_teams\logos\58.png,https://pubgesports.com/vi/teams/58
94,NEWHAPPY-ESPORTS,https://wstatic-prod-boc.krafton.com/entry/player/20240418/XmZsZT7i.png,pubg_teams\logos\94.png,https://pubgesports.com/vi/teams/94
95,FINHAY CERBERUS,https://wstatic-prod-boc.krafton.com/entry/player/20240322/ysMVNYKb.png,pubg_teams\logos\95.png,https://pubgesports.com/vi/teams/95
149,Falcons,https://wstatic-prod-boc.krafton.com/entry/player/20240315/SVZvjjdR.png,pubg_teams\logos\149.png,https://pubgesports.com/vi/teams/149
159,BB Team,https://wstatic-prod-boc.krafton.com/common/team/20241001/as0ap1TS/bb.png,pubg_teams\logos\159.png,https://pubgesports.com/vi/teams/159
165,Made in Thailand,https://wstatic-prod-boc.krafton.com/entry/player/20231010/WXAZRaE6.png,pubg_teams\logos\165.png,https://pubgesports.com/vi/teams/165
